host,timestamp,container_cpu_pct,container_mem_used_mb,container_mem_limit_mb,container_net_rx_mb,container_net_tx_mb,host_cpu_used_pct,host_mem_used_mb,host_mem_total_mb,host_load1,pg_active_connections
web-server,2026-09-25T19:25:51Z,0.00,36.74MiB,1.93GiB,1.08GB,1.19GB,0,640,1976,0.43,1
web-server,2026-09-25T19:25:59Z,0.00,36.74MiB,1.93GiB,1.08GB,1.19GB,1,646,1976,0.81,1
web-server,2026-09-25T19:26:07Z,0.00,36.74MiB,1.93GiB,1.08GB,1.19GB,1,658,1976,0.68,1
web-server,2026-09-25T19:26:16Z,0.21,36.74MiB,1.93GiB,1.08GB,1.19GB,2,637,1976,0.63,1
web-server,2026-09-25T19:26:24Z,0.54,36.75MiB,1.93GiB,1.08GB,1.19GB,28,641,1976,0.68,1
web-server,2026-09-25T19:26:33Z,9.04,39.37MiB,1.93GiB,1.09GB,1.19GB,9,653,1976,0.57,1
web-server,2026-09-25T19:26:41Z,11.89,39.66MiB,1.93GiB,1.09GB,1.19GB,8,637,1976,0.53,1
web-server,2026-09-25T19:26:49Z,12.56,39.66MiB,1.93GiB,1.09GB,1.19GB,9,667,1976,0.67,1
web-server,2026-09-25T19:26:58Z,11.58,39.75MiB,1.93GiB,1.09GB,1.19GB,11,637,1976,0.56,1
web-server,2026-09-25T19:27:06Z,11.89,39.6MiB,1.93GiB,1.09GB,1.19GB,12,644,1976,0.48,1
web-server,2026-09-25T19:27:15Z,11.72,39.66MiB,1.93GiB,1.09GB,1.2GB,10,666,1976,0.44,1
web-server,2026-09-25T19:27:23Z,12.40,39.75MiB,1.93GiB,1.09GB,1.2GB,10,651,1976,0.44,1
web-server,2026-09-25T19:27:32Z,13.99,39.12MiB,1.93GiB,1.1GB,1.2GB,9,654,1976,0.46,1
web-server,2026-09-25T19:27:40Z,11.78,39.29MiB,1.93GiB,1.1GB,1.2GB,10,641,1976,0.42,1
web-server,2026-09-25T19:27:49Z,12.10,39.28MiB,1.93GiB,1.1GB,1.2GB,10,655,1976,0.50,1
web-server,2026-09-25T19:27:57Z,12.55,39.61MiB,1.93GiB,1.1GB,1.2GB,7,657,1976,0.43,1
web-server,2026-09-25T19:28:06Z,12.83,39.66MiB,1.93GiB,1.1GB,1.2GB,11,641,1976,0.39,1
web-server,2026-09-25T19:28:14Z,12.69,39.43MiB,1.93GiB,1.1GB,1.21GB,9,660,1976,0.40,1
web-server,2026-09-25T19:28:23Z,10.20,39.46MiB,1.93GiB,1.1GB,1.21GB,11,627,1976,0.34,1
web-server,2026-09-25T19:28:31Z,13.38,39.9MiB,1.93GiB,1.11GB,1.21GB,9,631,1976,0.31,1
web-server,2026-09-25T19:28:40Z,12.28,39.98MiB,1.93GiB,1.11GB,1.21GB,10,656,1976,0.34,1
web-server,2026-09-25T19:28:48Z,8.44,40.2MiB,1.93GiB,1.11GB,1.21GB,8,646,1976,0.29,1
web-server,2026-09-25T19:28:57Z,12.41,39.76MiB,1.93GiB,1.11GB,1.21GB,9,639,1976,0.24,1
