TimeSeries ID,tex-chart-0-1-0
project_id,proyecto-plataforma-mooc
Fri Sep 25 2026 14:22:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 14:23:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 14:24:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 14:25:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 14:26:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 14:27:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:28:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:29:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:30:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:31:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:32:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:33:00 GMT-0500 (hora estándar de Colombia),10
Fri Sep 25 2026 14:34:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:35:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:36:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:37:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:38:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:39:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:40:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:41:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:42:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:43:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:44:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:45:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:46:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:47:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:48:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:49:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:50:00 GMT-0500 (hora estándar de Colombia),9
Fri Sep 25 2026 14:51:00 GMT-0500 (hora estándar de Colombia),8
Fri Sep 25 2026 14:52:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 14:53:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 14:54:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 14:55:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 14:56:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 14:57:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 14:58:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 14:59:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:00:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:01:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:02:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:03:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:04:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:05:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:06:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:07:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:08:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:09:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:10:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:11:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:12:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:13:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:14:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:15:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:16:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:17:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:18:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:19:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:20:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:21:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:22:00 GMT-0500 (hora estándar de Colombia),4
Fri Sep 25 2026 15:23:00 GMT-0500 (hora estándar de Colombia),4
